MED_MNEMONIC	RXCUI	RXNORM_DESCRIPTION	GENERIC	GENERIC_NAME	ATC	LEVEL4_DESCRIPTION	LEVEL3	LEVEL3_DESCRIPTION	LEVEL2	LEVEL2_DESCRIPTION	LEVEL1	LEVEL1_DESCRIPTION
90	SINEMET-10/1001 TAB	724606	carbidopa 10 MG / levodopa 100 MG Oral Tablet [Sinemet]	103990	carbidopa / levodopa	N04BA	DOPA AND DOPA DERIVATIVES	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
91	NICODERM 7MG/24H7 MG	198031	24 HR nicotine 0.292 MG/HR Transdermal System	7407	nicotine	N07BA	DRUGS USED IN NICOTINE DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
92	CELECOXIB 200M200 MG	205323	celecoxib 200 MG Oral Capsule	140587	celecoxib	L01XX	OTHER ANTINEOPLASTIC AGENTS	L01X	OTHER ANTINEOPLASTIC AGENTS	L01	ANTINEOPLASTIC AGENTS	L	ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
93	CELECOXIB 200M200 MG	205323	celecoxib 200 MG Oral Capsule	140587	celecoxib	M01AH	COXIBS	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	M01	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	M	MUSCULO-SKELETAL SYSTEM
94	PEPCID AC10 MG	199047	famotidine 10 MG Oral Tablet	4278	famotidine	A02BA	H2-RECEPTOR ANTAGONISTS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
95	PROTONIX40 MG/BLIS	763306	pantoprazole 40 MG Oral Granules	40790	pantoprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
96	CRESTOR20 MG	859753	rosuvastatin calcium 20 MG Oral Tablet [Crestor]	301542	rosuvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
97	NORCO 5/325 TAB1 TA1	857004	acetaminophen 325 MG / hydrocodone bitartrate 5 MG Oral Tablet [Norco]	214182	acetaminophen / hydrocodone	N02AJ	OPIOIDS IN COMBINATION WITH NON-OPIOID ANALGESICS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
98	VEGETABLE LAXA8.6 MG	312935	sennosides, USP 8.6 MG Oral Tablet	36387	sennosides, USP	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
99	CEFTRIAXONE1 GM	204871	Ceftriaxone 350 MG/ML Injectable Solution	2193	ceftriaxone 500 MG Injection	J01DD	THIRD-GENERATION CEPHALOSPORINS	J01D	OTHER BETA-LACTAM ANTIBACTERIALS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
100	DIPHENHYDRAMINE50 M2	1020477	diphenhydramine hydrochloride 50 MG Oral Capsule	3498	diphenhydramine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
101	DIPHENHYDRAMINE50 M2	1020477	diphenhydramine hydrochloride 50 MG Oral Capsule	3498	diphenhydramine	R06AA	AMINOALKYL ETHERS	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
102	TYLENOL EXTRA500 M1	198440	acetaminophen 500 MG Oral Tablet	161	acetaminophen	N02BE	ANILIDES	N02B	OTHER ANALGESICS AND ANTIPYRETICS	N02	ANALGESICS	N	NERVOUS SYSTEM
103	XALATAN OPHTHA2.5 ML	542527	latanoprost 0.05 MG/ML Ophthalmic Solution [Xalatan]	43611	latanoprost	S01EE	PROSTAGLANDIN ANALOGUES	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
104	HALOPERIDOL2 MG	314034	haloperidol 2 MG Oral Tablet	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
105	TOPROL XL 50 MG50 MG	866436	24 HR metoprolol succinate 50 MG Extended Release Oral Tablet	6918	metoprolol	C07AB	BETA BLOCKING AGENTS, SELECTIVE	C07A	BETA BLOCKING AGENTS	C07	BETA BLOCKING AGENTS	C	CARDIOVASCULAR SYSTEM
106	ROTIGOTINE PATCH 1MG	1251914	24 HR rotigotine 0.0417 MG/HR Transdermal System [Neupro]	616739	rotigotine	N04BC	DOPAMINE AGONISTS	N04B	DOPAMINERGIC AGENTS	N04	ANTI-PARKINSON DRUGS	N	NERVOUS SYSTEM
107	PANTOPRAZOLE 4040 MG	314200	pantoprazole 40 MG Delayed Release Oral Tablet	40790	pantoprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
108	SENOKOT-S TAB1 UDTAB	998740	docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet	1008340	docusate / sennosides, USP	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
109	LEVOXYL25 MCG	966157	levothyroxine sodium 0.025 MG Oral Tablet [Levoxyl]	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
110	DULERA 100 MCG8.8 GM	1360235	formoterol fumarate 0.005 MG/ACTUAT / mometasone furoate 0.1 MG/ACTUAT Metered Dose Inhaler	1002293	formoterol / mometasone	R03AK	ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS	R03A	ADRENERGICS, INHALANTS	R03	DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES	R	RESPIRATORY SYSTEM
111	REFRESH PLUS30 EA	1188426	carboxymethylcellulose sodium 5 MG/ML Ophthalmic Solution	2062	carboxymethylcellulose	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
112	LACTINEXTAB	2119271	Lactobacillus acidophilus 0.05 MG / Lactobacillus delbrueckii subsp. bulgaricus 0.05 MG Oral Tablet	2529760	Lactobacillus acidophilus / Lactobacillus delbrueckii subsp. bulgaricus	NA	NA	NA	NA	NA	NA	NA	NA
113	ONFI20 MG	246172	clobazam 20 MG Oral Tablet	21241	clobazam	N05BA	BENZODIAZEPINE DERIVATIVES	N05B	ANXIOLYTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
114	DEPAKOTE ER 50500 MG	1099569	24 HR divalproex sodium 500 MG Extended Release Oral Tablet	40254	valproate	N03AG	FATTY ACID DERIVATIVES	N03A	ANTIEPILEPTICS	N03	ANTIEPILEPTICS	N	NERVOUS SYSTEM
115	BENADRYL 50 MG IV	1723740	1 ML diphenhydramine hydrochloride 50 MG/ML Injection	3498	diphenhydramine	D04AA	ANTIHISTAMINES FOR TOPICAL USE	D04A	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D04	ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.	D	DERMATOLOGICALS
116	BENADRYL 50 MG IV	1723740	1 ML diphenhydramine hydrochloride 50 MG/ML Injection	3498	diphenhydramine	R06AA	AMINOALKYL ETHERS	R06A	ANTIHISTAMINES FOR SYSTEMIC USE	R06	ANTIHISTAMINES FOR SYSTEMIC USE	R	RESPIRATORY SYSTEM
117	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	A01AB	ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
118	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	B05CA	ANTIINFECTIVES	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
119	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	D08AC	BIGUANIDES AND AMIDINES	D08A	ANTISEPTICS AND DISINFECTANTS	D08	ANTISEPTICS AND DISINFECTANTS	D	DERMATOLOGICALS
120	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	D09AA	MEDICATED DRESSINGS WITH ANTIINFECTIVES	D09A	MEDICATED DRESSINGS	D09	MEDICATED DRESSINGS	D	DERMATOLOGICALS
121	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	R02AA	ANTISEPTICS	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
122	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S01AX	OTHER ANTIINFECTIVES	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
123	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
124	PERISOL437 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S03AA	ANTIINFECTIVES	S03A	ANTIINFECTIVES	S03	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	S	SENSORY ORGANS
125	MAGNESIUM SULFA50 ML	1658221	2 ML magnesium sulfate 500 MG/ML Injection	6585	magnesium sulfate	A06AD	OSMOTICALLY ACTING LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
126	MAGNESIUM SULFA50 ML	1658221	2 ML magnesium sulfate 500 MG/ML Injection	6585	magnesium sulfate	A12CC	MAGNESIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
127	MAGNESIUM SULFA50 ML	1658221	2 ML magnesium sulfate 500 MG/ML Injection	6585	magnesium sulfate	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
128	MAGNESIUM SULFA50 ML	1658221	2 ML magnesium sulfate 500 MG/ML Injection	6585	magnesium sulfate	D11AX	OTHER DERMATOLOGICALS	D11A	OTHER DERMATOLOGICAL PREPARATIONS	D11	OTHER DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
129	MAGNESIUM SULFA50 ML	1658221	2 ML magnesium sulfate 500 MG/ML Injection	6585	magnesium sulfate	V04CC	TESTS FOR BILE DUCT PATENCY	V04C	OTHER DIAGNOSTIC AGENTS	V04	DIAGNOSTIC AGENTS	V	VARIOUS
130	POTASSIUM40 MEQ/30	314182	potassium chloride 2.67 MEQ/ML Oral Solution	8591	potassium chloride	A12BA	POTASSIUM	A12B	POTASSIUM	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
131	POTASSIUM40 MEQ/30	314182	potassium chloride 2.67 MEQ/ML Oral Solution	8591	potassium chloride	B05XA	ELECTROLYTE SOLUTIONS	B05X	I.V. SOLUTION ADDITIVES	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
132	OLANZAPINE10 MG	314154	olanzapine 10 MG Oral Tablet	61381	olanzapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
133	DILAUDID4 M1	897702	hydromorphone hydrochloride 4 MG Oral Tablet	3423	hydromorphone	N02AA	NATURAL OPIUM ALKALOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
134	LOPROX45 GM	313941	ciclopirox 0.0077 MG/MG Topical Gel	21090	ciclopirox	D01AE	OTHER ANTIFUNGALS FOR TOPICAL USE	D01A	ANTIFUNGALS FOR TOPICAL USE	D01	ANTIFUNGALS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
135	LOPROX45 GM	313941	ciclopirox 0.0077 MG/MG Topical Gel	21090	ciclopirox	G01AX	OTHER ANTIINFECTIVES AND ANTISEPTICS	G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	G	GENITO URINARY SYSTEM AND SEX HORMONES
136	MAG-G500 MG	311425	magnesium gluconate 500 MG Oral Tablet	52358	magnesium gluconate	A12CC	MAGNESIUM	A12C	OTHER MINERAL SUPPLEMENTS	A12	MINERAL SUPPLEMENTS	A	ALIMENTARY TRACT AND METABOLISM
137	TUCKS MEDICATE1 EACH	1247709	witch hazel 500 MG/ML Medicated Pad [Tucks]	89821	witch hazel	NA	NA	NA	NA	NA	NA	NA	NA
138	CRESTOR 10MG TA10 MG	859749	rosuvastatin calcium 10 MG Oral Tablet [Crestor]	301542	rosuvastatin	C10AA	HMG COA REDUCTASE INHIBITORS	C10A	LIPID MODIFYING AGENTS, PLAIN	C10	LIPID MODIFYING AGENTS	C	CARDIOVASCULAR SYSTEM
139	REVIA50 MG	198011	Naltrexone 50 MG Oral Tablet	7243	naltrexone hydrochloride 50 MG Oral Tablet	N07BB	DRUGS USED IN ALCOHOL DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
140	VOLTAREN100 GM	855635	diclofenac sodium 0.01 MG/MG Topical Gel [Voltaren]	3355	diclofenac	D11AX	OTHER DERMATOLOGICALS	D11A	OTHER DERMATOLOGICAL PREPARATIONS	D11	OTHER DERMATOLOGICAL PREPARATIONS	D	DERMATOLOGICALS
141	VOLTAREN100 GM	855635	diclofenac sodium 0.01 MG/MG Topical Gel [Voltaren]	3355	diclofenac	M01AB	ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	M01	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	M	MUSCULO-SKELETAL SYSTEM
142	VOLTAREN100 GM	855635	diclofenac sodium 0.01 MG/MG Topical Gel [Voltaren]	3355	diclofenac	M02AA	ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE	M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M02	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M	MUSCULO-SKELETAL SYSTEM
143	VOLTAREN100 GM	855635	diclofenac sodium 0.01 MG/MG Topical Gel [Voltaren]	3355	diclofenac	S01BC	ANTIINFLAMMATORY AGENTS, NON-STEROIDS	S01B	ANTIINFLAMMATORY AGENTS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
144	REMERON 15MG TA15 MG	211322	mirtazapine 15 MG Oral Tablet [Remeron]	15996	mirtazapine	N06AX	OTHER ANTIDEPRESSANTS	N06A	ANTIDEPRESSANTS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
145	LASIX20 MG/2 ML	1719291	4 ML furosemide 10 MG/ML Injection	4603	furosemide	C03CA	SULFONAMIDES, PLAIN	C03C	HIGH-CEILING DIURETICS	C03	DIURETICS	C	CARDIOVASCULAR SYSTEM
146	SENNA PLUS TA1 UDTAB	998740	docusate sodium 50 MG / sennosides, USP 8.6 MG Oral Tablet	1008340	docusate / sennosides, USP	A06AB	CONTACT LAXATIVES	A06A	DRUGS FOR CONSTIPATION	A06	DRUGS FOR CONSTIPATION	A	ALIMENTARY TRACT AND METABOLISM
147	IBUPROFEN200 M3	310965	ibuprofen 200 MG Oral Tablet	5640	ibuprofen	C01EB	OTHER CARDIAC PREPARATIONS	C01E	OTHER CARDIAC PREPARATIONS	C01	CARDIAC THERAPY	C	CARDIOVASCULAR SYSTEM
148	IBUPROFEN200 M3	310965	ibuprofen 200 MG Oral Tablet	5640	ibuprofen	G02CC	ANTIINFLAMMATORY PRODUCTS FOR VAGINAL ADMINISTRATION	G02C	OTHER GYNECOLOGICALS	G02	OTHER GYNECOLOGICALS	G	GENITO URINARY SYSTEM AND SEX HORMONES
149	IBUPROFEN200 M3	310965	ibuprofen 200 MG Oral Tablet	5640	ibuprofen	M01AE	PROPIONIC ACID DERIVATIVES	M01A	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS	M01	ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS	M	MUSCULO-SKELETAL SYSTEM
150	IBUPROFEN200 M3	310965	ibuprofen 200 MG Oral Tablet	5640	ibuprofen	M02AA	ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE	M02A	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M02	TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN	M	MUSCULO-SKELETAL SYSTEM
151	IBUPROFEN200 M3	310965	ibuprofen 200 MG Oral Tablet	5640	ibuprofen	R02AX	OTHER THROAT PREPARATIONS	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
152	NEOSPORIN PLUS15 G1	1359350	bacitracin 0.5 UNT/MG / neomycin 0.0035 MG/MG / polymyxin B 10 UNT/MG / pramoxine hydrochloride 0.01 MG/MG Topical Ointment	466540	bacitracin / neomycin / polymyxin B / pramoxine	D06AX	OTHER ANTIBIOTICS FOR TOPICAL USE	D06A	ANTIBIOTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
153	BENZONATATE100 MG	197397	benzonatate 100 MG Oral Capsule	18993	benzonatate	R05DB	OTHER COUGH SUPPRESSANTS	R05D	COUGH SUPPRESSANTS, EXCL. COMBINATIONS WITH EXPECTORANTS	R05	COUGH AND COLD PREPARATIONS	R	RESPIRATORY SYSTEM
154	NICODERM 21MG/221 MG	198030	24 HR nicotine 0.875 MG/HR Transdermal System	7407	nicotine	N07BA	DRUGS USED IN NICOTINE DEPENDENCE	N07B	DRUGS USED IN ADDICTIVE DISORDERS	N07	OTHER NERVOUS SYSTEM DRUGS	N	NERVOUS SYSTEM
155	MORPHINE SULF1 MG/M1	1234297	30 ML Morphine Sulfate 1 MG/ML Prefilled Syringe	7052	10 ML morphine sulfate 1 MG/ML Injection	N02AA	NATURAL OPIUM ALKALOIDS	N02A	OPIOIDS	N02	ANALGESICS	N	NERVOUS SYSTEM
156	INVEGA9 MG/BOTTL	686445	24 HR paliperidone 9 MG Extended Release Oral Tablet [Invega]	679314	paliperidone	N05AX	OTHER ANTIPSYCHOTICS	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
157	HALDOL DECAN50 MG/ML	1719863	haloperidol decanoate 50 MG/ML Injection	5093	haloperidol	N05AD	BUTYROPHENONE DERIVATIVES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
158	DURAGESIC12 MCG.PER	583490	72 HR fentanyl 0.012 MG/HR Transdermal System [Duragesic]	4337	fentanyl	N01AH	OPIOID ANESTHETICS	N01A	ANESTHETICS, GENERAL	N01	ANESTHETICS	N	NERVOUS SYSTEM
159	C COMPLEX1000 MG	308382	ascorbic acid 1000 MG Extended Release Oral Tablet	1151	ascorbic acid	A11GA	ASCORBIC ACID (VITAMIN C), PLAIN	A11G	ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS	A11	VITAMINS	A	ALIMENTARY TRACT AND METABOLISM
160	C COMPLEX1000 MG	308382	ascorbic acid 1000 MG Extended Release Oral Tablet	1151	ascorbic acid	G01AD	ORGANIC ACIDS	G01A	ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS	G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS	G	GENITO URINARY SYSTEM AND SEX HORMONES
161	C COMPLEX1000 MG	308382	ascorbic acid 1000 MG Extended Release Oral Tablet	1151	ascorbic acid	S01XA	OTHER OPHTHALMOLOGICALS	S01X	OTHER OPHTHALMOLOGICALS	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
162	PROTONIX I40 MG/VIAL	283669	pantoprazole 40 MG Injection	40790	pantoprazole	A02BC	PROTON PUMP INHIBITORS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
163	ZOSYN 3.373.375 GM/1	1659139	piperacillin 3000 MG / tazobactam 375 MG Injection [Zosyn]	74169	piperacillin / tazobactam	J01CR	COMBINATIONS OF PENICILLINS, INCL. BETA-LACTAMASE INHIBITORS	J01C	BETA-LACTAM ANTIBACTERIALS, PENICILLINS	J01	ANTIBACTERIALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
164	VYVANSE60 MG	854846	lisdexamfetamine dimesylate 60 MG Oral Capsule	700810	lisdexamfetamine	N06BA	CENTRALLY ACTING SYMPATHOMIMETICS	N06B	PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS	N06	PSYCHOANALEPTICS	N	NERVOUS SYSTEM
165	PEPCID 20MG TAB20 MG	310273	famotidine 20 MG Oral Tablet	4278	famotidine	A02BA	H2-RECEPTOR ANTAGONISTS	A02B	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	A02	DRUGS FOR ACID RELATED DISORDERS	A	ALIMENTARY TRACT AND METABOLISM
166	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	A01AB	ANTIINFECTIVES AND ANTISEPTICS FOR LOCAL ORAL TREATMENT	A01A	STOMATOLOGICAL PREPARATIONS	A01	STOMATOLOGICAL PREPARATIONS	A	ALIMENTARY TRACT AND METABOLISM
167	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	B05CA	ANTIINFECTIVES	B05C	IRRIGATING SOLUTIONS	B05	BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS	B	BLOOD AND BLOOD FORMING ORGANS
168	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	D08AC	BIGUANIDES AND AMIDINES	D08A	ANTISEPTICS AND DISINFECTANTS	D08	ANTISEPTICS AND DISINFECTANTS	D	DERMATOLOGICALS
169	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	D09AA	MEDICATED DRESSINGS WITH ANTIINFECTIVES	D09A	MEDICATED DRESSINGS	D09	MEDICATED DRESSINGS	D	DERMATOLOGICALS
170	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	R02AA	ANTISEPTICS	R02A	THROAT PREPARATIONS	R02	THROAT PREPARATIONS	R	RESPIRATORY SYSTEM
171	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S01AX	OTHER ANTIINFECTIVES	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
172	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S02AA	ANTIINFECTIVES	S02A	ANTIINFECTIVES	S02	OTOLOGICALS	S	SENSORY ORGANS
173	PERIOGARD473 ML	834127	chlorhexidine gluconate 1.2 MG/ML Mouthwash	2358	chlorhexidine	S03AA	ANTIINFECTIVES	S03A	ANTIINFECTIVES	S03	OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS	S	SENSORY ORGANS
174	BACTROBAN CREAM15 GM	311877	mupirocin 20 MG/ML Topical Cream	42372	mupirocin	D06AX	OTHER ANTIBIOTICS FOR TOPICAL USE	D06A	ANTIBIOTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
175	BACTROBAN CREAM15 GM	311877	mupirocin 20 MG/ML Topical Cream	42372	mupirocin	R01AX	OTHER NASAL PREPARATIONS	R01A	DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE	R01	NASAL PREPARATIONS	R	RESPIRATORY SYSTEM
176	ZYPREXA 5MG5 MG	312078	olanzapine 5 MG Oral Tablet	61381	olanzapine	N05AH	DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES	N05A	ANTIPSYCHOTICS	N05	PSYCHOLEPTICS	N	NERVOUS SYSTEM
177	FERROUS SULFAT325 MG	310324	ferrous sulfate 325 MG Delayed Release Oral Tablet	24947	ferrous sulfate	B03AA	IRON BIVALENT, ORAL PREPARATIONS	B03A	IRON PREPARATIONS	B03	ANTIANEMIC PREPARATIONS	B	BLOOD AND BLOOD FORMING ORGANS
178	ZOVIRAX800 M1	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	D06BB	ANTIVIRALS	D06B	CHEMOTHERAPEUTICS FOR TOPICAL USE	D06	ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE	D	DERMATOLOGICALS
179	ZOVIRAX800 M1	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	J05AB	NUCLEOSIDES AND NUCLEOTIDES EXCL. REVERSE TRANSCRIPTASE INHIBITORS	J05A	DIRECT ACTING ANTIVIRALS	J05	ANTIVIRALS FOR SYSTEMIC USE	J	ANTIINFECTIVES FOR SYSTEMIC USE
180	ZOVIRAX800 M1	197313	acyclovir 800 MG Oral Tablet	281	acyclovir	S01AD	ANTIVIRALS	S01A	ANTIINFECTIVES	S01	OPHTHALMOLOGICALS	S	SENSORY ORGANS
181	LEVOXYL200 MCG	892251	levothyroxine sodium 0.2 MG Oral Tablet	10582	levothyroxine	H03AA	THYROID HORMONES	H03A	THYROID PREPARATIONS	H03	THYROID THERAPY	H	SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS
